id,pop,lat,lon,Microchip,Weight,Sex,AgeClass,concentration,PlateID,Row,Column,order_dart,id_b
T28,U_TENT_11,-29.026713,151.746975,7.92E+12,0.79,F,J,2.98,2,B,10,108,U_TENT_11_1
T36,U_TENT_12,-29.027057,151.724683,7923AB6,1,F,A,3.1,2,B,11,109,U_TENT_12_2
V2,R_A_MITTA_2,-36.908784,147.622772,0007A351F5,0.59,F,J,8.3,2,B,12,110,R_A_MITTA_2_2
SDS5,R_B_SEV_7,-29.189063,151.132304,7922D58,1.39,F,A,6,2,B,2,111,R_B_SEV_7_1
SDS13,R_B_SEV_1,-29.303547,151.138189,7922B1E,1.43,M,A,5.42,2,B,3,112,R_B_SEV_1_1
SUS21,R_A_SEV_5,-29.474119,151.485041,7922BCE,1.13,F,A,4.92,2,B,4,113,R_A_SEV_5_2
SUS29,R_A_SEV_2,-29.506811,151.589001,7923CC3,1.47,M,A,7.88,2,B,5,114,R_A_SEV_2_2
SUS37,R_A_SEV_7,-29.456671,151.464321,7923D04,1.64,M,A,20.6,2,B,6,115,R_A_SEV_7_2
T4,U_TENT_3,-29.011746,151.86722,7922E8C,0.88,M,J,3.58,2,B,7,116,U_TENT_3_2
T12,U_TENT_8,-29.035987,151.759721,7922C25,1.05,F,A,2.44,2,B,8,117,U_TENT_8_2
T20,U_TENT_1,-29.002064,151.995101,7923E3B,1.69,M,A,2.82,2,B,9,118,U_TENT_1_1
E97,U_SNOW_4,-36.447367,148.648261,0007A379AA,,M,A,15.86,2,C,1,119,U_SNOW_4_7
T29,U_TENT_10,-29.026713,151.742656,7.92E+12,0.98,F,A,2.06,2,C,10,120,U_TENT_10_1
V3,R_A_MITTA_5,-36.806872,147.66193,0007A3A7B3,,M,J,8.96,2,C,12,121,R_A_MITTA_5_1
SDS6,R_B_SEV_7,-29.189063,151.132304,7923BF0,1.8,M,A,13.7,2,C,2,122,R_B_SEV_7_2
SDS14,R_B_SEV_3,-29.302878,151.124002,7922CBA,1.83,M,A,9.2,2,C,3,123,R_B_SEV_3_1
SUS22,R_A_SEV_3,-29.49832,151.562924,7923C11,1.84,M,A,2.64,2,C,4,124,R_A_SEV_3_1
SUS30,R_A_SEV_2,-29.506811,151.589001,7923DE9,1.74,M,A,5.88,2,C,5,125,R_A_SEV_2_3
SUS38,R_A_SEV_7,-29.456671,151.464321,7923BD4,1.45,M,A,5.38,2,C,6,126,R_A_SEV_7_3
